,댓글
340,@minji_smile_ 난 하나도 없는데 너 한 번 해보셈ㅋㅋ
341,@sb3___2333 나 예민해 보여?🙀
342,@ahrimei @sarammunda
343,@silee._.7 제대로 18개임 미친거아니냐 그래서 이거 제목이 뭐였지
344,@_33.5k__ 야..나 21개야 진심 존나 프로예민러..
345,@e_xxixxi 몇개야
346,@nabang514 시부럴 나 열세개
347,@jong___heee 나 7개
348,@l_dy__
349,@95.722 @yeji0524 해보삼들
350,@lee__nayoung 이거 에바야...20개나옴...나 안예민한데...청각은 예민하긴 해도...
351,@ddoonnyy__ 나 몇개빼고 거의다 해당되는데 쌉예민충이네 죄송합니다
352,프로예민러네..
353,21개.. 음😭
354,19개 뭐야
355,😵
356,"18개,.ㅋㅋㅋㅋ"
357,@wldn._.princess 나 12개..
358,제가 생각하는 전 6개네욤😂
359,@sober_89 나 초예민
360,이 책 제목 좀.....😂😂😂뒷내용이 넘나 궁금하네요
361,@dabin_6089 하나 빼고 다
362,@ioojeei 해보자
363,@yunsu_99 나 8개 나왔는디
364,@ruqj__ 19갠데......
365,@jenohan09 5개정도인듯
366,@h._______.yn 몇개?
367,@mi__nyoni 곰아워~ 그냥 그렇다구 ......^^
368,배우자가 있는지를 물어봐야지; 1번에서거른다
369,@seonghuhy 대충봤는데 나 ㄹㅇ 예민한
370,@kimmm_00000 나예민해??
371,@chang99999 나 진짜 예민해??큐ㅠㅠ
372,@a_freakin_nerd 몇개에여🤣
373,@hwachoabum 열몇갠데..?
374,@mnnsnn 해바
375,@nubin_s2 몇개야
376,@093one 나 개초예민이였나바
377,@yoo_n_o6 나 17개 해당되는데...?
378,@yoonseo._.08 다서깨
379,@hye_ran2954 ㅋㅋㄱㄱㄱㄱ ㄱ헐
380,@seunghyeog9807 21개여..
381,@avoirdupois929 난가보다
382,@_jeongang
383,@jihyeimdang @go_ood_
384,@__cherry____me__ @go_sssky_
385,"@kim0005705 큼 나 10개
원래좀 내가 얘민하긴 해"
386,@__mark.5 이거해봐 오빠 엄청 예민할껄?
387,@gurwls99 나 3개빼고 다야 그냥 예민예민예밈..
388,@yeah_ding @yeena_hong @1ziuiz1 @yeah_ding @ihyeyeon99 22😶
389,@tibet_fox
390,@kimseung5162 우왕 18개당
391,원래좀 아무생각 없다지만..두개넹..
392,@_jieun03_ 21개 나옴 도라방스;;
393,@kangyungu10 해바
394,10
395,6
396,18개로군 십팔이군 십팔이야
397,나... 줫나 예민한 새끼였구나......
398,개 예밈충 이라고 생각했는데 7개가 안되네 😂
399,@im_sonesu 몇개닝
400,@bagjuhyi672 17개 나오는데 어쩜..ㅋㅋ
401,@jieun_._._06 나 15개 얔ㅋㅋㅋ
402,@zxxnnnnn
403,@howeon40 나 16개야 애초에 이게 7개 이하로 나올 수 있는 질문인가..
404,@hx_nxel 딱 7개
405,@woo_j412 나 25개임ㅋㅋ..
406,@dong_y_2
407,@_y_o_o_m_ 망했
408,@yeonissssss 나 예민보스여
409,@yongchuniiii 몇개야?
410,@s2___y_vely___s2 해봥 나 하나도 없어
411,@ppp_haneul 나는 14너는?
412,@hyemi.i 헐.. 나 예민?
413,@sooae_04 12개 실화?ㅋㅋㅋㅋ
414,@pwang_world 이중에 몇개야? 세봐
415,출처는 밝히고 쓰세요 책 제목은 '매우 예민한 사람들을 위한 책'입니다.
416,@_amonde 나 두갠디@그냥 둔탱인가
417,24개
418,"@woohyeon4_1 영이 7개,,,"
419,@llltaehoon_98 나 예민대장이네;
420,@sodlfmadmsanjrp
421,@loclef_j 난 내가 몹시 예민하다는걸 알고있어서 딱히 놀랍지 않다 해당 안되는 사람도 있ㄴㅏ
422,"@hwangdain 헉 나 7개다,,,?"
423,@twimxx 별이 15개
424,@n_padopado 몇개햐? 난 17개...^-^....
425,@ttobagi._1lm 해밬ㅋㅋ
426,@charmingshin 나 21개 멘탈 쿠크다스
427,@holysehee
428,22개
429,@dog_sounds_ 나야나
430,@tae___n 나는 15갠데..
431,@yoonmi_____ 몇개야~?
432,@danbi_0824 @arumi_ya 나23갠데;;
433,@victoryangela_ 최소 스무갠 해당되는듯ㅋㅋㅋ 언니 예민한가
434,@jjan._.naya 너몇개야?? 나 10갠디.???
435,@h_jun.0 오빠 몇개??
436,@eraser_ @mrmm.s 너네 몇개??
437,@uk_9449
438,@u_withbin @wona_ya @midsomalz 다들 몇개니...나 20개야....ㅋㅋㅋㅋㅋ
439,@son_dongwook 쟈기해바바바
440,@zlho_s2 나 씹 개예민보슨데 니도 그럴듯
441,@_kimjiyun_ @nyoong_zzun @le____lje 너무 쉽게 나오는거 아니냐
442,22개 나오는데 다른 사람들은 안저런다고....??? 심지어 미혼이라 배우자 문항만 빠진 것임
443,@hoya._.hee 17개인데?
444,@zzangyeri 나 예민보슨가봐 ^~^
445,"@soominchaekwon 안녕하세요, 인사이드아웃의 새 캐릭터 예민이입니다."
446,@jjahn__0037 @l_yyly_3 13...?
447,@canggili 해바여
448,@minzugram 6개
449,@sia._.1113 @2bon._.0117 10개 시롸야..?
450,@wootussy 미친 나 9개야;;
451,@jaeeon117 나 15개 나왔늗대 .. ;
452,@gran_ma_j 19개 .... 개예민충인가봄
453,@soubiny 몇개나와??ㅋㅋ
454,@annnikasong ㅋㅋㅋㅁㅊ 18개임
455,@eddy_lsm 10번문항까지밖에 안읽었는데 7개 넘음
456,@misongp 난 3개
457,@study_yujin09 난 2개지렁 ❤️
