,댓글
259,"음주운전=살인마
칼만 안들었지 달리는 살인마
보면 항상 지는 살고
남만 죽더라..
저 저가족들은 대체 무슨 죄야..
제발 처벌 좀 똑바로 못하나??"
260,술처먹고 운전좀 하지마라면 제발 하지마 말 드럽게 안든다 왜 죄없는 사람들이 개죽음을 당해야돼
261,강남한복판에 능지처참해 찢어죽일놈의 자슥
262,술이 그렇게 좋냐
263,😢😢😢😢😢😢
264,보나마나 무죄판결!
265,🔥
266,🙏
267,음주운전시 면허 평생 정지시켜야해요! 저러고 또 운전하는 사람 수도 없이 많음.
268,음주로 사망 사고 내면 무기징역을 시켜야.
269,😡😡😡
270,하루분량(소주한박스)줘서 남기면 하루종일 고문하고 그 다음날 처음부터 다시시작. 만약 다 마시면 한박스 업! 이러면 정신이 번쩍 날거다.
271,제발 사형제 부활
272,미친눔 음주운전 저런놈은 무기징역 안되요 바로 사형시켜야 됩니다!!
273,"아마 최종 판결은 직접 아이를 친게 아니라고 감형하겠지.. 대한민국 법이란게 참 쓰레기 같더라 특히 성폭행,살인과 음주운전 살인에 대해.."
274,.......살인자
275,아니 살인인데 왜 처벌이 3-4년이야 사람목숨 존귀하다며 판사들아 ㅡㅡ
276,@som_som_so_ 미친거아니냐고............
277,@92.dinghyuk2 아우 빡쳐
278,@mr_minsssss 민식이법은 순삭이던데 음주운전은 왜케 오래걸려!!!!!
279,@shinodom ㅡㅡ
280,@r_918_516
281,어차피 버릴꺼면 베이비박스에 버리던가! 얼마안되는 거리인데 쳐 죽일××××같으니라고
282,잘보고 한걸음만 더 가지
283,"이런기사 넘흐 슬퍼요😭
저도 출산한지 얼마 안되어서 어린아가가 있어서 이기사보니 맘이 더 찡하고 눈물이 흐르는것은 어쩔수없는 모성인가봅니다.아이가 너무 안쓰럽네요 ㅠ"
284,부검은 왜해요.......아타까워라...
285,천벌을받아라
286,아...... 미치겠다 정말
287,관악구 베이비박스자체가 비인륜적이다.영아버리도록 유도하는 것이다.폐쇄해라
288,후 ㅠㅜ화난다
289,😭😭😭
290,아가슴아파 욕나오네 ㅅㅍ
291,👿👿👿
292,very sad 😔
293,😲😢😭😡
294,🔥
295,😢😢😢😢😢😢
296,저건 사람 접근하면 알람뜨는 cctv다는 방법 밖에 없음....에휴...
297,😢😢😢
298,😭😭😭
299,아기를 사랑하고 보호해야하는 사람들에게 버려 져서
300,정말 있어서는 안될 일!!!!🔥
301,😡😡😡😡
302,하...세상엔 욕도아까운 사람들이 많다
303,지는 춥고 애기는 춥다는 생각도 없나....
304,하. . . . .진짜 못됏다. .
305,@yeonhwa0815 😢
306,@_sub1_1 진짜세상꼬라지왜이러지ㅡㅡ키울자신없으면왜낳앗노
307,@ji_____________y @_sa.park 아 ㅡㅡ🔥
308,@young.sill ㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜ진짜 짜증난다
309,@yuuuuuuna93 아니 부검을 왜해?? ㅜㅠ
310,@nnynn_ 😭
311,@jjhoooon 죽었데...
312,@hune.hun 불쌍해ㅠㅠ몸부림치다가 떨어졌데ㅠㅠ 얼마나 울다가 떨어졌을까..
313,ㅠㅠㅠㅠ 아직 갓난아기인데 벌써 숨지다니 ㅠㅠㅠㅠ 이런 기사 너무 슬퍼요ㅠㅠㅠㅠㅠㅠ 😭😭😭😭😭
314,@_2ool_ 하... ㅜ
315,@wolfishunting
316,또라이가 진짜 벌 받아라 ;;
317,국회의원들은 일좀해라 싸지르지만 말고
318,벌받는건 당연한거고 피해본 학생들은 어떻게하냐고? 법을 바꿔서라도 이런 피해 보는 안타까운 사연은 더이상없었음 좋겠네
319,모든 것은 돌도 돌아 자기한테 돌아온다....
320,돈 다 값을때까지 못나오게 해야한다😠😠😠😠
321,법이 거지같지...
322,이번 판사는 사법고시 공부를 잘 했네. 13년구형 맘에 드너.
323,관련 공무원들 월급에서 피해액 제한다고 하면 무슨 수를 써서라도 받아낼 수 있는 법안을 마련하겠지? 세금 쳐 먹이면서 국민을 위해 나랏일 하라니까 지들이 나랏님들인줄 착각하는 것들...
324,🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲
325,남일같지않다 안당해본사람들은 모른다 일좀해라 무능한 정부야 국회의원아
326,여윽시 내고향 7시 ㅋㅋ
327,@leeeee_e_j 무섭다무서워
