,댓글
436,아녀 외부장학 내부장학 이것저것 다 떼고 진ㅉㅏ 너가 낸 돈만 받는거 얼마정도냈는디
437,백팔십?인가 정도 냈는데
438,그냥 학기중에 수강신청하는 것보단 쉬움
439,난 진로상담!
440,연애상담
441,ㅇㅇ수업(담임교수님이 담당하는 수업)에 관심 있는데 이 수업 때 어떤 내용 배우나요?
442,대학원 가고싶다고 해봐 ㅎㅎ
443,방학 때 뭐할까요?
444,근데 다들 담임교수 상담 대면으로 만나? 나 알아보니까 대면 없던데..
445,군대이야기 함
446,저를 사랑하시나요?
447,난 진로상담!
448,연애상담
449,ㅇㅇ수업(담임교수님이 담당하는 수업)에 관심 있는데 이 수업 때 어떤 내용 배우나요?
450,대학원 가고싶다고 해봐 ㅎㅎ
451,방학 때 뭐할까요?
452,근데 다들 담임교수 상담 대면으로 만나? 나 알아보니까 대면 없던데..
453,군대이야기 함
454,저를 사랑하시나요?
455,되는뎅
456,그 주피터 노트북에서 만든 거 어떻게 제출하는지 알려줘라ㅠ 바탕화면으로 파일 옮겨서 하는데 안되네..
457,바탕화면으로 옮기지 말고 원래 있던데다 놔둔다음에 제출란에서 디렉토리 찾아서 제출 하면 되지 않아?
458,"나는 그 cmd로 해서 인터넷으로 주피터 노트북 접속하는데, 그래서 내파일에 따로 주피터 디렉토리가 없는거 같아서.."
459,너가 작성한 파이썬파일들이 자동으로 저장되는곳 있지 않아..?
460,"for i in len(tmp_list) - 1: print(tmp_list[i], end="" "" print(tmp_list[-1]"
461,아니면if i == tmp_list[-1]에 한해서만 띄어쓰기 빼서 출력하세요
