,댓글
294,@2sinil 니가튼애 또이따..
295,@code_name_ruralpuppy__ ㅋㄱㅋㄱㅋㄱㅋㄱㅅㅋㅋ
296,어허......
297,@yunvle_e 미쳣어
298,@_ss0826 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
299,나쁜 😡
300,"@s_tpwls 전세보증금이래,, 미친"
301,요줌 롸이브 하쿠놔 롸이브 하는 그거냐 @movingjn
302,@_hnybeeeee 웁스
303,@yeechan_jeon_johnny 더더걷러렂어러더럳러덜
304,애색끼 뺨따구를 확!
305,@xxvi_ra_ 뒤지게 패야됨
306,미친새낀가
307,미쳤구만 걔들이 밥을 주냐 쌀을 주냐 뭘 주냐 ㅎㅎㅎ 일개 팬 하나뿐이야 팬이라고 인정해준들 진짜겠냐 ㅠㅠ 어떻게 그렇게 결제를 아무렇지도 않게 쉽게 쉽게 할 수가 있지 ㅎㅎ
308,@pianoyun0 아이폰에 도청장치있나봐
309,흙 가지고 놀때가 좋았지 요즘 클라스가 오지고 지리고 1억 ㅋㅋㅋ ㅋㅋㅋ
310,@wankaemi_87 헐랭구..?
311,@pkg6568 ..
312,아니 진짜 왜 돈을 기부하는건지 이해못하겠음...미성년자는 돈 못내게 해야하는거 아닌가요;이런사건이 한두번 아닌거 같아요..
313,@haewon_jooeun 흠.... 진짜 심각한 문제인데.... 변하는게없네...
314,인터넷방송 사이트를 없애야함
315,@lavender__dilly 암걸린다
316,근데 행위무능력자 아닌가? 초등생이 이렇게 한거면 부모가 취소할 수 있지 ㄴ않나??
317,@kimsueun83
318,@yeonyanya
319,@barbie_hyennixx 와....
320,@h.yoon_01 야 이게 그 우리 과 동기가 보낸 어플인 듯 ㅋㅋ 이름 똑같노
321,@juhyung_kk
322,@tngusb 진짜....애새기 어떡하냐.... 나중에 애가 저러면 어떡해..?
323,@seoyon0506 미쳤나봄...1억은 에반데 애가 많이 모자른가봐
